epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7513,3.39672,4.83196,3.44504,0.31984,0.18729,0.12979,0.05891,2.54363,3.26452,2.55605,0.000158546,0.000158546,0.000158546
2,170.534,2.39645,3.17618,2.24413,0.61023,0.37496,0.38683,0.21925,1.85786,2.16057,1.8518,0.000301511,0.000301511,0.000301511
3,244.808,1.98945,2.32744,1.81674,0.76159,0.53831,0.60963,0.3583,1.61572,1.51579,1.60854,0.000428768,0.000428768,0.000428768
4,318.261,1.78539,1.83134,1.63073,0.78502,0.64721,0.70571,0.44189,1.44793,1.31908,1.46313,0.000405314,0.000405314,0.000405314
5,391.263,1.65155,1.52752,1.51366,0.82628,0.6956,0.76099,0.48786,1.36484,1.11055,1.38121,0.000381752,0.000381752,0.000381752
6,464.136,1.55357,1.34656,1.43525,0.8528,0.75165,0.80837,0.53875,1.25026,0.99342,1.30704,0.00035819,0.00035819,0.00035819
7,536.947,1.48905,1.2312,1.39058,0.87698,0.7775,0.83312,0.56427,1.20123,0.89522,1.26263,0.000334628,0.000334628,0.000334628
8,609.686,1.43085,1.14011,1.34849,0.88049,0.80408,0.85245,0.58365,1.16359,0.83236,1.23423,0.000311066,0.000311066,0.000311066
9,682.395,1.38848,1.0762,1.31976,0.91385,0.81452,0.87182,0.60204,1.13655,0.77969,1.20686,0.000287504,0.000287504,0.000287504
10,755.07,1.34854,1.01477,1.28997,0.92011,0.81946,0.8826,0.61413,1.09934,0.75658,1.19398,0.000263942,0.000263942,0.000263942
11,827.769,1.23475,0.85198,1.26708,0.94208,0.83665,0.89233,0.62889,1.09388,0.70405,1.17091,0.00024038,0.00024038,0.00024038
12,900.096,1.18909,0.78744,1.23104,0.93344,0.85602,0.90473,0.64538,1.05585,0.66535,1.1471,0.000216818,0.000216818,0.000216818
13,972.314,1.15245,0.74668,1.20883,0.93493,0.86682,0.90971,0.65374,1.03643,0.63907,1.13321,0.000193256,0.000193256,0.000193256
14,1044.41,1.12351,0.71541,1.18416,0.94346,0.86791,0.91339,0.66207,1.02006,0.62131,1.11815,0.000169694,0.000169694,0.000169694
15,1116.59,1.0979,0.68981,1.16516,0.95399,0.8773,0.92021,0.66798,1.01138,0.59963,1.10862,0.000146132,0.000146132,0.000146132
16,1188.88,1.07129,0.66694,1.15237,0.948,0.88631,0.92269,0.67606,0.98236,0.58543,1.09474,0.00012257,0.00012257,0.00012257
17,1261.12,1.04496,0.64507,1.13643,0.95288,0.88658,0.92529,0.68639,0.9665,0.56996,1.08235,9.9008e-05,9.9008e-05,9.9008e-05
18,1333.32,1.02677,0.63264,1.12797,0.95492,0.88616,0.92727,0.6872,0.97263,0.56461,1.08269,7.5446e-05,7.5446e-05,7.5446e-05
19,1405.41,1.0054,0.61791,1.11212,0.96108,0.88202,0.92863,0.68973,0.96072,0.55898,1.07606,5.1884e-05,5.1884e-05,5.1884e-05
20,1477.59,0.99021,0.60744,1.10683,0.95523,0.88938,0.93009,0.69541,0.95133,0.55299,1.07087,2.8322e-05,2.8322e-05,2.8322e-05
