epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.025,1.2438,2.97218,1.29555,0.91603,0.85823,0.90642,0.62142,1.11767,0.8592,1.20214,0.000158546,0.000158546,0.000158546
2,1038.37,1.13903,1.24749,1.19558,0.9303,0.86694,0.92778,0.65474,1.055,0.71943,1.15261,0.000301511,0.000301511,0.000301511
3,1547.99,1.10637,0.86859,1.17626,0.94405,0.91411,0.94802,0.68189,1.01831,0.6082,1.14035,0.000428768,0.000428768,0.000428768
4,2057.37,1.06644,0.73422,1.15684,0.96416,0.9255,0.95797,0.7042,0.98196,0.54229,1.12417,0.000405314,0.000405314,0.000405314
5,2567.32,1.03015,0.65588,1.1403,0.96631,0.93986,0.96803,0.72205,0.94285,0.49647,1.09346,0.000381752,0.000381752,0.000381752
6,3078.25,0.99359,0.60535,1.11868,0.97005,0.9451,0.96965,0.73945,0.90594,0.46236,1.07046,0.00035819,0.00035819,0.00035819
7,3587.83,0.97048,0.57164,1.10861,0.9806,0.94633,0.97546,0.75793,0.87501,0.42978,1.04277,0.000334628,0.000334628,0.000334628
8,4096.88,0.94581,0.54161,1.1001,0.97701,0.95513,0.97809,0.76188,0.86589,0.41776,1.04628,0.000311066,0.000311066,0.000311066
9,4606.72,0.93011,0.5237,1.08674,0.98105,0.95706,0.98109,0.77433,0.83996,0.40102,1.03165,0.000287504,0.000287504,0.000287504
10,5118.15,0.90732,0.49985,1.07553,0.9823,0.96648,0.98187,0.785,0.82035,0.38755,1.01889,0.000263942,0.000263942,0.000263942
11,5626.57,0.87726,0.43592,1.05871,0.9804,0.96587,0.98245,0.78498,0.81632,0.38667,1.01448,0.00024038,0.00024038,0.00024038
12,6134.06,0.85468,0.41817,1.04301,0.98082,0.96723,0.9824,0.79567,0.79695,0.37526,1.00221,0.000216818,0.000216818,0.000216818
13,6640.67,0.83363,0.40137,1.0342,0.98329,0.96552,0.98398,0.80379,0.7772,0.36165,0.99518,0.000193256,0.000193256,0.000193256
14,7147.97,0.81586,0.38863,1.02607,0.98224,0.96951,0.98473,0.80886,0.76829,0.35531,0.98866,0.000169694,0.000169694,0.000169694
15,7655.85,0.79613,0.37547,1.00994,0.98736,0.96724,0.98553,0.81393,0.758,0.34098,0.97857,0.000146132,0.000146132,0.000146132
16,8163.13,0.77483,0.36199,0.99944,0.9883,0.96876,0.98616,0.82068,0.73622,0.32989,0.9683,0.00012257,0.00012257,0.00012257
17,8669.14,0.75564,0.35045,0.98906,0.98282,0.97476,0.98715,0.82309,0.72948,0.32754,0.96305,9.9008e-05,9.9008e-05,9.9008e-05
18,9172.93,0.73718,0.34031,0.9787,0.98607,0.96992,0.98745,0.82888,0.7155,0.31863,0.95627,7.5446e-05,7.5446e-05,7.5446e-05
19,9676.45,0.71905,0.33132,0.97181,0.98639,0.97122,0.98794,0.83224,0.70763,0.31386,0.95285,5.1884e-05,5.1884e-05,5.1884e-05
20,10180,0.70451,0.3227,0.9648,0.9821,0.9785,0.98771,0.83461,0.69736,0.30696,0.94785,2.8322e-05,2.8322e-05,2.8322e-05
