epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.287,1.14834,1.0905,1.10919,0.914,0.84388,0.91361,0.63478,1.06357,0.65568,1.04619,0.000158546,0.000158546,0.000158546
2,575.593,1.13113,0.7437,1.1002,0.93854,0.87846,0.93187,0.65759,1.03844,0.59555,1.05165,0.000301511,0.000301511,0.000301511
3,856.329,1.10507,0.68926,1.08493,0.96193,0.89282,0.93764,0.66802,1.02064,0.55895,1.04034,0.000428768,0.000428768,0.000428768
4,1136.16,1.06259,0.63047,1.06503,0.96366,0.92679,0.95332,0.70682,0.95114,0.47018,1.00376,0.000405314,0.000405314,0.000405314
5,1417.14,1.014,0.57227,1.03771,0.95733,0.9279,0.95852,0.72987,0.91631,0.44625,0.9964,0.000381752,0.000381752,0.000381752
6,1697.89,0.97183,0.5295,1.017,0.9721,0.93475,0.9614,0.73743,0.88674,0.42359,0.97491,0.00035819,0.00035819,0.00035819
7,1979.23,0.94317,0.50253,1.00647,0.97598,0.94514,0.96831,0.7585,0.84639,0.39553,0.95719,0.000334628,0.000334628,0.000334628
8,2262.18,0.91566,0.47985,0.99555,0.97686,0.94623,0.96794,0.76548,0.83314,0.3805,0.95109,0.000311066,0.000311066,0.000311066
9,2767.38,0.89268,0.46186,0.98516,0.97839,0.9498,0.97056,0.77232,0.81933,0.36998,0.93994,0.000287504,0.000287504,0.000287504
10,3039.84,0.86839,0.44326,0.97472,0.97459,0.95454,0.9754,0.78827,0.79818,0.35826,0.93052,0.000263942,0.000263942,0.000263942
11,3312.25,0.84585,0.40152,0.95604,0.9774,0.95434,0.97488,0.78402,0.79527,0.35825,0.93097,0.00024038,0.00024038,0.00024038
12,3583.72,0.82172,0.38182,0.94381,0.97592,0.96018,0.97627,0.79569,0.76858,0.34624,0.91728,0.000216818,0.000216818,0.000216818
13,3855.04,0.79918,0.37005,0.93406,0.97792,0.95852,0.978,0.80217,0.75276,0.33719,0.91329,0.000193256,0.000193256,0.000193256
14,4126.35,0.7752,0.35845,0.92371,0.98115,0.95997,0.97773,0.81013,0.72808,0.32749,0.90487,0.000169694,0.000169694,0.000169694
15,4397.45,0.75515,0.34537,0.91257,0.98187,0.96483,0.97974,0.81514,0.7255,0.31988,0.90226,0.000146132,0.000146132,0.000146132
16,4668.26,0.73286,0.33156,0.90732,0.98804,0.96411,0.9814,0.82232,0.71014,0.30786,0.89643,0.00012257,0.00012257,0.00012257
17,4939.16,0.71234,0.31974,0.89902,0.9874,0.96374,0.98096,0.82848,0.69068,0.30071,0.89011,9.9008e-05,9.9008e-05,9.9008e-05
18,5209.95,0.69137,0.31038,0.89185,0.98216,0.97052,0.98155,0.83084,0.68299,0.29565,0.88708,7.5446e-05,7.5446e-05,7.5446e-05
19,5480.72,0.66971,0.29963,0.88485,0.98503,0.96787,0.98182,0.83421,0.67486,0.28904,0.88377,5.1884e-05,5.1884e-05,5.1884e-05
20,5751.52,0.65405,0.29032,0.87981,0.98375,0.96841,0.98255,0.83798,0.66539,0.28344,0.88038,2.8322e-05,2.8322e-05,2.8322e-05
