epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3117.91,0.90331,0.48759,0.98988,0.97832,0.95626,0.97314,0.79571,0.74808,0.34707,0.91083,0.005842,0.005842,0.005842
44,3189.61,0.89798,0.48403,0.98888,0.97884,0.95688,0.97405,0.79646,0.74585,0.34555,0.91018,0.005743,0.005743,0.005743
45,3261.29,0.89811,0.48346,0.98823,0.97957,0.9567,0.97447,0.79687,0.74405,0.34372,0.90959,0.005644,0.005644,0.005644
46,3332.98,0.89221,0.48157,0.98486,0.97997,0.95738,0.9743,0.79804,0.74243,0.34291,0.90867,0.005545,0.005545,0.005545
47,3404.84,0.89067,0.47817,0.98441,0.98003,0.95919,0.97453,0.79767,0.74188,0.34144,0.90824,0.005446,0.005446,0.005446
48,3476.56,0.88417,0.47363,0.98254,0.97936,0.95905,0.97443,0.79801,0.74009,0.34078,0.90749,0.005347,0.005347,0.005347
49,3548.38,0.88464,0.47544,0.98161,0.97831,0.95731,0.97409,0.79891,0.73918,0.3399,0.90723,0.005248,0.005248,0.005248
50,3620.16,0.88231,0.47317,0.98156,0.97897,0.95818,0.9743,0.79952,0.73789,0.33962,0.90673,0.005149,0.005149,0.005149
51,3691.94,0.88178,0.46987,0.97799,0.97872,0.95877,0.97456,0.79983,0.73642,0.33864,0.90626,0.00505,0.00505,0.00505
52,3763.69,0.87663,0.46726,0.9796,0.97893,0.9591,0.97484,0.80056,0.73517,0.33805,0.90583,0.004951,0.004951,0.004951
53,3835.44,0.86957,0.46138,0.97418,0.97727,0.9611,0.97555,0.80061,0.73409,0.33722,0.90529,0.004852,0.004852,0.004852
54,3907.15,0.87196,0.47005,0.977,0.97641,0.96167,0.97529,0.8014,0.73294,0.33702,0.90465,0.004753,0.004753,0.004753
55,3978.84,0.86585,0.4622,0.97487,0.97847,0.9605,0.97533,0.8012,0.73167,0.33676,0.90432,0.004654,0.004654,0.004654
56,4050.51,0.86766,0.46146,0.9739,0.97666,0.96176,0.97489,0.80128,0.731,0.33625,0.90404,0.004555,0.004555,0.004555
57,4122.22,0.86187,0.45627,0.97245,0.97717,0.96138,0.97485,0.80114,0.73016,0.33579,0.90375,0.004456,0.004456,0.004456
58,4193.94,0.8569,0.45517,0.97044,0.97925,0.95962,0.97502,0.80166,0.72936,0.33523,0.90345,0.004357,0.004357,0.004357
59,4265.67,0.85702,0.45155,0.96969,0.97836,0.96146,0.97487,0.80177,0.72867,0.33477,0.90298,0.004258,0.004258,0.004258
60,4337.43,0.85313,0.45061,0.96899,0.97832,0.96162,0.97522,0.80203,0.72799,0.33436,0.90273,0.004159,0.004159,0.004159
61,4409.23,0.84414,0.44334,0.9649,0.978,0.96207,0.97497,0.80224,0.72728,0.33388,0.90244,0.00406,0.00406,0.00406
62,4480.97,0.84677,0.4458,0.96415,0.9784,0.96036,0.97512,0.80316,0.72619,0.3336,0.90198,0.003961,0.003961,0.003961
63,4552.67,0.83894,0.44098,0.96511,0.97869,0.9598,0.97554,0.80394,0.72515,0.33304,0.90167,0.003862,0.003862,0.003862
64,4624.35,0.83424,0.43826,0.96068,0.97883,0.95889,0.97552,0.80396,0.72417,0.33224,0.90108,0.003763,0.003763,0.003763
65,4696.09,0.8335,0.435,0.95915,0.97902,0.95854,0.97549,0.80413,0.72332,0.33179,0.90056,0.003664,0.003664,0.003664
66,4767.7,0.8296,0.43401,0.95926,0.97819,0.96123,0.97581,0.80436,0.72273,0.33122,0.9003,0.003565,0.003565,0.003565
67,4839.28,0.82893,0.4356,0.95841,0.97754,0.96164,0.97583,0.80496,0.7219,0.33092,0.89995,0.003466,0.003466,0.003466
68,4910.89,0.82118,0.43025,0.95637,0.97679,0.9621,0.97603,0.80539,0.72103,0.33018,0.89963,0.003367,0.003367,0.003367
69,4982.53,0.81767,0.42859,0.95379,0.97688,0.96174,0.97586,0.80582,0.72019,0.3295,0.89923,0.003268,0.003268,0.003268
70,5054.22,0.81474,0.42695,0.9518,0.97662,0.96433,0.97644,0.80611,0.71906,0.32915,0.89863,0.003169,0.003169,0.003169
71,5125.99,0.81648,0.4288,0.95597,0.97829,0.96399,0.97678,0.80661,0.71851,0.32869,0.8983,0.00307,0.00307,0.00307
72,5197.79,0.81285,0.42357,0.95028,0.97767,0.96407,0.97661,0.80743,0.7175,0.32838,0.89787,0.002971,0.002971,0.002971
73,5269.49,0.80766,0.42114,0.94982,0.978,0.96469,0.97669,0.80758,0.71647,0.32765,0.89732,0.002872,0.002872,0.002872
74,5341.12,0.7976,0.41661,0.94561,0.97838,0.96576,0.97691,0.80778,0.71557,0.32753,0.89674,0.002773,0.002773,0.002773
75,5412.73,0.80027,0.41278,0.9459,0.97788,0.96234,0.97688,0.80814,0.71464,0.32681,0.89627,0.002674,0.002674,0.002674
76,5484.39,0.79399,0.41147,0.944,0.97777,0.96544,0.97718,0.80847,0.71352,0.32651,0.89566,0.002575,0.002575,0.002575
77,5556.18,0.79495,0.41254,0.94494,0.9758,0.96565,0.97716,0.80868,0.71271,0.32598,0.89514,0.002476,0.002476,0.002476
78,5627.96,0.79066,0.40873,0.94252,0.97678,0.96518,0.97707,0.8094,0.7116,0.3254,0.89462,0.002377,0.002377,0.002377
79,5699.68,0.7895,0.40875,0.93928,0.97864,0.96228,0.97736,0.80964,0.71056,0.32504,0.89402,0.002278,0.002278,0.002278
80,5771.35,0.78263,0.40383,0.9387,0.97685,0.96556,0.97743,0.80983,0.70962,0.32456,0.89348,0.002179,0.002179,0.002179
81,5842.95,0.77716,0.40084,0.9357,0.97703,0.96664,0.97817,0.81047,0.70852,0.32417,0.89282,0.00208,0.00208,0.00208
82,5914.55,0.77412,0.39772,0.93759,0.97709,0.96671,0.97806,0.81138,0.70762,0.3239,0.89238,0.001981,0.001981,0.001981
83,5986.22,0.76635,0.39455,0.93369,0.97662,0.96694,0.9782,0.81182,0.70655,0.32344,0.89189,0.001882,0.001882,0.001882
84,6057.99,0.76376,0.39192,0.93242,0.97688,0.9672,0.97816,0.81162,0.7054,0.32301,0.89125,0.001783,0.001783,0.001783
85,6129.67,0.76659,0.39216,0.93283,0.97641,0.96733,0.97815,0.81236,0.70455,0.32272,0.89077,0.001684,0.001684,0.001684
86,6201.25,0.76322,0.39059,0.92963,0.97687,0.96728,0.97825,0.81286,0.70335,0.32216,0.89013,0.001585,0.001585,0.001585
87,6272.99,0.75746,0.38788,0.93077,0.97665,0.96763,0.97827,0.81366,0.7022,0.32172,0.88949,0.001486,0.001486,0.001486
88,6344.59,0.75417,0.3869,0.92839,0.97752,0.96708,0.97854,0.81341,0.70108,0.32151,0.88889,0.001387,0.001387,0.001387
89,6416.3,0.74554,0.3816,0.92554,0.97754,0.96689,0.97857,0.81375,0.70002,0.32108,0.88833,0.001288,0.001288,0.001288
