epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.668,1.24656,2.42279,1.18434,0.92607,0.85853,0.9112,0.64109,1.06336,0.80706,1.07716,0.000158546,0.000158546,0.000158546
2,402.847,1.1513,1.14804,1.12892,0.92935,0.87975,0.93138,0.66164,1.04436,0.69655,1.06754,0.000301511,0.000301511,0.000301511
3,596.347,1.11605,0.86884,1.11863,0.9454,0.90802,0.9441,0.68386,0.99973,0.6018,1.05477,0.000428768,0.000428768,0.000428768
4,791.04,1.08138,0.75109,1.10406,0.94996,0.92582,0.95407,0.69691,0.98686,0.5513,1.04401,0.000405314,0.000405314,0.000405314
5,984.992,1.04558,0.67136,1.08442,0.96774,0.935,0.96088,0.72186,0.92651,0.4961,1.017,0.000381752,0.000381752,0.000381752
6,1175.31,1.00827,0.62215,1.07,0.97382,0.93882,0.96573,0.7293,0.90383,0.47251,1.00304,0.00035819,0.00035819,0.00035819
7,1365.36,0.98577,0.58698,1.05692,0.9699,0.94816,0.96972,0.74739,0.88362,0.44856,0.99252,0.000334628,0.000334628,0.000334628
8,1555.29,0.96013,0.55859,1.05038,0.97847,0.94903,0.97281,0.75489,0.86503,0.43149,0.98488,0.000311066,0.000311066,0.000311066
9,1745.34,0.94328,0.54313,1.04032,0.98233,0.94763,0.97343,0.76468,0.84529,0.41261,0.98017,0.000287504,0.000287504,0.000287504
10,1935.23,0.92494,0.51873,1.03268,0.98063,0.95578,0.97513,0.77386,0.82699,0.39971,0.96596,0.000263942,0.000263942,0.000263942
11,2123.92,0.88814,0.45153,1.00646,0.98446,0.95478,0.97607,0.77535,0.83107,0.39814,0.96795,0.00024038,0.00024038,0.00024038
12,2311.92,0.86158,0.43283,0.99114,0.97881,0.95572,0.97614,0.78431,0.8026,0.38884,0.95775,0.000216818,0.000216818,0.000216818
13,2500.05,0.84059,0.41618,0.98426,0.97753,0.9574,0.97563,0.78684,0.79138,0.37687,0.95256,0.000193256,0.000193256,0.000193256
14,2688.24,0.82511,0.40527,0.97654,0.98106,0.96388,0.9788,0.79781,0.77549,0.3647,0.947,0.000169694,0.000169694,0.000169694
15,2876.15,0.80207,0.39271,0.96551,0.98132,0.96517,0.97897,0.80026,0.76376,0.35767,0.94184,0.000146132,0.000146132,0.000146132
16,3063.99,0.78486,0.38039,0.95964,0.98486,0.96398,0.98019,0.807,0.74677,0.34944,0.93758,0.00012257,0.00012257,0.00012257
17,3252.14,0.76581,0.36819,0.95101,0.98205,0.96454,0.979,0.81297,0.73532,0.34132,0.92719,9.9008e-05,9.9008e-05,9.9008e-05
18,3440.01,0.74846,0.35782,0.94099,0.98332,0.96981,0.98083,0.81813,0.72307,0.33474,0.92237,7.5446e-05,7.5446e-05,7.5446e-05
19,3627.91,0.72814,0.34857,0.93306,0.98005,0.96966,0.98093,0.82025,0.71694,0.32996,0.91989,5.1884e-05,5.1884e-05,5.1884e-05
20,3815.79,0.71352,0.33921,0.92723,0.98532,0.96806,0.98145,0.82358,0.70962,0.3242,0.91553,2.8322e-05,2.8322e-05,2.8322e-05
