epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,424.525,0.51386,0.33925,0.99151,0.99655,0.99945,0.99493,0.93489,0.38195,0.24028,0.85675,0.0011684,0.0011684,0.0011684
44,433.942,0.49778,0.33757,0.99081,0.98964,0.99162,0.99472,0.93644,0.391,0.2414,0.86839,0.0011486,0.0011486,0.0011486
45,443.346,0.48926,0.33093,0.9797,0.98299,0.99988,0.99486,0.94077,0.3817,0.23637,0.85551,0.0011288,0.0011288,0.0011288
46,453.104,0.48756,0.3208,0.97667,0.98712,0.99308,0.99447,0.92724,0.43635,0.2543,0.9021,0.001109,0.001109,0.001109
47,462.386,0.48337,0.32262,0.98271,0.99229,0.99654,0.99493,0.94658,0.38621,0.22611,0.86588,0.0010892,0.0010892,0.0010892
48,471.771,0.49088,0.31659,0.98189,0.98142,0.99654,0.99479,0.95034,0.37905,0.22825,0.86363,0.0010694,0.0010694,0.0010694
49,481.52,0.48887,0.31811,0.98462,0.98857,1,0.99479,0.93822,0.40299,0.23593,0.86778,0.0010496,0.0010496,0.0010496
50,490.929,0.47044,0.30377,0.96704,0.99654,0.99582,0.9949,0.94416,0.3887,0.2243,0.8568,0.0010298,0.0010298,0.0010298
51,500.287,0.47873,0.31604,0.98172,0.98969,0.9964,0.99486,0.94125,0.37841,0.2313,0.85046,0.00101,0.00101,0.00101
52,509.797,0.47453,0.31399,0.97825,0.99404,0.99654,0.99486,0.94778,0.38828,0.24419,0.85771,0.0009902,0.0009902,0.0009902
53,519.013,0.45244,0.30155,0.95784,0.9871,0.98962,0.99433,0.94502,0.3776,0.23034,0.85607,0.0009704,0.0009704,0.0009704
54,528.285,0.47421,0.30148,0.97494,0.9983,0.99654,0.995,0.94934,0.36781,0.21026,0.84932,0.0009506,0.0009506,0.0009506
55,537.499,0.46531,0.29985,0.96967,0.98299,0.99958,0.99486,0.94807,0.37579,0.20966,0.8505,0.0009308,0.0009308,0.0009308
56,546.69,0.44808,0.30085,0.95948,1,0.99573,0.995,0.94701,0.37193,0.21523,0.85368,0.000911,0.000911,0.000911
57,556.01,0.45003,0.29013,0.96205,0.98972,0.99985,0.9949,0.95306,0.36323,0.21749,0.84244,0.0008912,0.0008912,0.0008912
58,565.379,0.45196,0.29548,0.96752,0.99655,0.99998,0.99497,0.95234,0.35346,0.21017,0.83304,0.0008714,0.0008714,0.0008714
59,574.735,0.4625,0.30003,0.97248,0.98784,0.99654,0.99476,0.94648,0.37348,0.21846,0.84927,0.0008516,0.0008516,0.0008516
60,584.196,0.46477,0.29979,0.96867,0.99655,0.99973,0.9949,0.94824,0.36178,0.2087,0.84359,0.0008318,0.0008318,0.0008318
61,593.714,0.45381,0.28886,0.95208,0.99306,1,0.99493,0.95672,0.35106,0.20263,0.83589,0.000812,0.000812,0.000812
62,603.104,0.43209,0.28584,0.94273,0.99307,0.99654,0.99497,0.952,0.35119,0.21071,0.83495,0.0007922,0.0007922,0.0007922
63,612.379,0.45,0.28782,0.97111,0.9931,0.99563,0.99493,0.94964,0.33878,0.20165,0.83237,0.0007724,0.0007724,0.0007724
64,621.642,0.42888,0.27532,0.9538,0.99512,1,0.99493,0.95506,0.35748,0.20411,0.83921,0.0007526,0.0007526,0.0007526
65,630.833,0.42599,0.27528,0.9494,0.99654,0.99623,0.995,0.95082,0.34309,0.19249,0.8326,0.0007328,0.0007328,0.0007328
66,640.198,0.4068,0.26537,0.94029,0.99523,0.99308,0.995,0.95515,0.3361,0.19577,0.83095,0.000713,0.000713,0.000713
67,649.591,0.42177,0.26878,0.94836,0.99583,1,0.995,0.95952,0.34099,0.19412,0.83255,0.0006932,0.0006932,0.0006932
68,658.921,0.4161,0.27844,0.94485,0.99584,1,0.995,0.96058,0.32509,0.19347,0.82347,0.0006734,0.0006734,0.0006734
69,668.466,0.41558,0.26864,0.94944,0.99949,0.99654,0.995,0.96039,0.32012,0.18586,0.81755,0.0006536,0.0006536,0.0006536
70,677.718,0.41587,0.26985,0.94168,0.9894,1,0.9949,0.9577,0.34224,0.19498,0.82769,0.0006338,0.0006338,0.0006338
71,687.03,0.39539,0.26139,0.936,0.99159,0.98962,0.99444,0.96071,0.34691,0.20993,0.84037,0.000614,0.000614,0.000614
72,696.478,0.41512,0.26915,0.94873,0.99313,0.99975,0.995,0.96189,0.32738,0.19144,0.82018,0.0005942,0.0005942,0.0005942
73,706.155,0.40634,0.26217,0.94041,0.99815,0.99654,0.995,0.95744,0.32206,0.17966,0.82069,0.0005744,0.0005744,0.0005744
74,715.744,0.39708,0.25586,0.93495,0.98924,1,0.99486,0.96241,0.32056,0.17972,0.81783,0.0005546,0.0005546,0.0005546
75,725.784,0.38448,0.25358,0.92784,0.99937,1,0.995,0.95983,0.32472,0.17839,0.81915,0.0005348,0.0005348,0.0005348
76,735.451,0.39393,0.25414,0.94322,0.99655,0.99883,0.995,0.96195,0.32328,0.18255,0.81859,0.000515,0.000515,0.000515
77,744.874,0.39157,0.25363,0.93715,0.98959,0.99654,0.99476,0.9651,0.31469,0.18821,0.81961,0.0004952,0.0004952,0.0004952
78,754.59,0.3892,0.24559,0.93299,0.99939,1,0.995,0.96124,0.32628,0.18079,0.81944,0.0004754,0.0004754,0.0004754
79,763.906,0.39485,0.24708,0.93477,0.99655,0.99963,0.99493,0.96769,0.30717,0.17432,0.81439,0.0004556,0.0004556,0.0004556
